brand_name,brand_slug,model_name,model_slug,variant_name,variant_slug,variant_url,data_source,source_url,scraped_at
BMW,bmw,3 Series,3-series,320Ld M Sport Pro,320ld-m-sport-pro,https://www.carwale.com/bmw-cars/3-series/,carwale_versions,https://www.carwale.com/bmw-cars/3-series/,2026-06-16 15:57:09
BMW,bmw,3 Series,3-series,330Li M Sport,330li-m-sport,https://www.carwale.com/bmw-cars/3-series/,carwale_versions,https://www.carwale.com/bmw-cars/3-series/,2026-06-16 15:57:09
BMW,bmw,3 Series,3-series,50 Jahre Edition,50-jahre-edition,https://www.carwale.com/bmw-cars/3-series/,carwale_versions,https://www.carwale.com/bmw-cars/3-series/,2026-06-16 15:57:09
BMW,bmw,M340I,m340i,50 Jahre Edition,50-jahre-edition,https://www.carwale.com/bmw-cars/m340i/,carwale_versions,https://www.carwale.com/bmw-cars/m340i/,2026-06-16 15:57:09
BMW,bmw,M340I,m340i,xDrive,xdrive,https://www.carwale.com/bmw-cars/m340i/,carwale_versions,https://www.carwale.com/bmw-cars/m340i/,2026-06-16 15:57:09
BMW,bmw,M340I,m340i,xDrive Shadow Edition,xdrive-shadow-edition,https://www.carwale.com/bmw-cars/m340i/,carwale_versions,https://www.carwale.com/bmw-cars/m340i/,2026-06-16 15:57:09
BMW,bmw,M340I,m340i,xDrive [2022-2023],xdrive-2022-2023,https://www.carwale.com/bmw-cars/m340i/,carwale_versions,https://www.carwale.com/bmw-cars/m340i/,2026-06-16 15:57:09
BMW,bmw,X1,x1,sDrive18d M Sport,sdrive18d-m-sport,https://www.carwale.com/bmw-cars/x1/,carwale_versions,https://www.carwale.com/bmw-cars/x1/,2026-06-16 15:57:09
BMW,bmw,X1,x1,sDrive18i M Sport,sdrive18i-m-sport,https://www.carwale.com/bmw-cars/x1/,carwale_versions,https://www.carwale.com/bmw-cars/x1/,2026-06-16 15:57:09
BMW,bmw,M5,m5,Competition,competition,https://www.carwale.com/bmw-cars/m5/,carwale_versions,https://www.carwale.com/bmw-cars/m5/,2026-06-16 15:57:09
BMW,bmw,X7,x7,Signature Edition,signature-edition,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X7,x7,xDrive40d DPE 7 Seater,xdrive40d-dpe-7-seater,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X7,x7,xDrive40d DPE 7 Seater [2024-2025],xdrive40d-dpe-7-seater-2024-2025,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X7,x7,xDrive40d M Sport,xdrive40d-m-sport,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X7,x7,xDrive40d M Sport Pro,xdrive40d-m-sport-pro,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X7,x7,xDrive40i M Sport,xdrive40i-m-sport,https://www.carwale.com/bmw-cars/x7/,carwale_versions,https://www.carwale.com/bmw-cars/x7/,2026-06-16 15:57:09
BMW,bmw,X5,x5,xDrive30d M Sport,xdrive30d-m-sport,https://www.carwale.com/bmw-cars/x5/,carwale_versions,https://www.carwale.com/bmw-cars/x5/,2026-06-16 15:57:10
BMW,bmw,X5,x5,xDrive30d M Sport Pro,xdrive30d-m-sport-pro,https://www.carwale.com/bmw-cars/x5/,carwale_versions,https://www.carwale.com/bmw-cars/x5/,2026-06-16 15:57:10
BMW,bmw,X5,x5,xDrive30d xLine,xdrive30d-xline,https://www.carwale.com/bmw-cars/x5/,carwale_versions,https://www.carwale.com/bmw-cars/x5/,2026-06-16 15:57:10
BMW,bmw,X5,x5,xDrive40i M Sport Pro,xdrive40i-m-sport-pro,https://www.carwale.com/bmw-cars/x5/,carwale_versions,https://www.carwale.com/bmw-cars/x5/,2026-06-16 15:57:10
BMW,bmw,X5,x5,xDrive40i xLine,xdrive40i-xline,https://www.carwale.com/bmw-cars/x5/,carwale_versions,https://www.carwale.com/bmw-cars/x5/,2026-06-16 15:57:10
BMW,bmw,X3,x3,xDrive 30 M Sport Pro Petrol 2.0L Turbo Automatic,xdrive-30-m-sport-pro-petrol-2-0l-turbo-automatic,https://www.carwale.com/bmw-cars/x3/,carwale_versions,https://www.carwale.com/bmw-cars/x3/,2026-06-16 15:57:10
BMW,bmw,X3,x3,xDrive20 Petrol 2.0L Turbo Automatic,xdrive20-petrol-2-0l-turbo-automatic,https://www.carwale.com/bmw-cars/x3/,carwale_versions,https://www.carwale.com/bmw-cars/x3/,2026-06-16 15:57:10
BMW,bmw,X3,x3,xDrive20d Diesel 2.0L Turbo Automatic,xdrive20d-diesel-2-0l-turbo-automatic,https://www.carwale.com/bmw-cars/x3/,carwale_versions,https://www.carwale.com/bmw-cars/x3/,2026-06-16 15:57:10
BMW,bmw,Z4,z4,M 40i,m-40i,https://www.carwale.com/bmw-cars/z4/,carwale_versions,https://www.carwale.com/bmw-cars/z4/,2026-06-16 15:57:10
BMW,bmw,Z4,z4,M 40i Pure Impulse MT,m-40i-pure-impulse-mt,https://www.carwale.com/bmw-cars/z4/,carwale_versions,https://www.carwale.com/bmw-cars/z4/,2026-06-16 15:57:10
BMW,bmw,7 Series,7-series,740d M Sport,740d-m-sport,https://www.carwale.com/bmw-cars/7-series/,carwale_versions,https://www.carwale.com/bmw-cars/7-series/,2026-06-16 15:57:10
BMW,bmw,7 Series,7-series,740i M Sport,740i-m-sport,https://www.carwale.com/bmw-cars/7-series/,carwale_versions,https://www.carwale.com/bmw-cars/7-series/,2026-06-16 15:57:10
BMW,bmw,7 Series,7-series,740i [2023],740i-2023,https://www.carwale.com/bmw-cars/7-series/,carwale_versions,https://www.carwale.com/bmw-cars/7-series/,2026-06-16 15:57:10
BMW,bmw,M440I,m440i,xDrive Convertible Petrol Turbo Automatic,xdrive-convertible-petrol-turbo-automatic,https://www.carwale.com/bmw-cars/m440i/,carwale_versions,https://www.carwale.com/bmw-cars/m440i/,2026-06-16 15:57:10
BMW,bmw,Ix1 Lwb,ix1-lwb,eDrive20L M Sport,edrive20l-m-sport,https://www.carwale.com/bmw-cars/ix1-lwb/,carwale_versions,https://www.carwale.com/bmw-cars/ix1-lwb/,2026-06-16 15:57:10
BMW,bmw,M2,m2,3.0 Petrol Petrol Turbo Automatic,3-0-petrol-petrol-turbo-automatic,https://www.carwale.com/bmw-cars/m2/,carwale_versions,https://www.carwale.com/bmw-cars/m2/,2026-06-16 15:57:11
BMW,bmw,M2,m2,3.0 Petrol Petrol Turbo Manual,3-0-petrol-petrol-turbo-manual,https://www.carwale.com/bmw-cars/m2/,carwale_versions,https://www.carwale.com/bmw-cars/m2/,2026-06-16 15:57:11
BMW,bmw,M2,m2,3.0 Petrol [2023-2024],3-0-petrol-2023-2024,https://www.carwale.com/bmw-cars/m2/,carwale_versions,https://www.carwale.com/bmw-cars/m2/,2026-06-16 15:57:11
BMW,bmw,M2,m2,CS Petrol Turbo Automatic,cs-petrol-turbo-automatic,https://www.carwale.com/bmw-cars/m2/,carwale_versions,https://www.carwale.com/bmw-cars/m2/,2026-06-16 15:57:11
BMW,bmw,5 Series,5-series,530Li Petrol 2.0L Turbo Automatic,530li-petrol-2-0l-turbo-automatic,https://www.carwale.com/bmw-cars/5-series/,carwale_versions,https://www.carwale.com/bmw-cars/5-series/,2026-06-16 15:57:11
