brand_name,model_name,variant_name,variant_url,status_code,ok
Citroen,C3 X,Shine 1.2 Petrol Dual Tone,https://www.carwale.com/citroen-cars/c3-x/shine-12-petrol-dual-tone/,200,True
Citroen,C3 X,Shine 1.2 Turbo AT Vibe Pack Dual Tone,https://www.carwale.com/citroen-cars/c3-x/shine-12-turbo-at-vibe-pack-dual-tone/,200,True
Citroen,C3 X,Shine CNG 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/shine-cng-12l-5-speed-manual/,200,True
Citroen,C3 X,Shine CNG 1.2L 5 Speed Manual Dual Tone,https://www.carwale.com/citroen-cars/c3-x/shine-cng-12l-5-speed-manual-dual-tone/,200,True
Citroen,C3 X,Shine Petrol 1.2L 5 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/shine-petrol-12l-5-speed-manual/,200,True
Citroen,C3 X,Shine Petrol 1.2L 5 Speed Manual Dual Tone,https://www.carwale.com/citroen-cars/c3-x/shine-petrol-12l-5-speed-manual-dual-tone/,200,True
Citroen,C3 X,Shine Petrol 1.2L Turbo 6 Speed Manual,https://www.carwale.com/citroen-cars/c3-x/shine-petrol-12l-turbo-6-speed-manual/,200,True
Citroen,C3 X,Shine Petrol 1.2L Turbo Automatic,https://www.carwale.com/citroen-cars/c3-x/shine-petrol-12l-turbo-automatic/,200,True
Citroen,Aircross X,Max Petrol Turbo 6 Speed Manual 5 STR,https://www.carwale.com/citroen-cars/aircross-x/max-petrol-turbo-6-speed-manual-5-str/,200,True
Citroen,Aircross X,Max Petrol Turbo 6 Speed Manual 7 STR,https://www.carwale.com/citroen-cars/aircross-x/max-petrol-turbo-6-speed-manual-7-str/,200,True
Citroen,Aircross X,Max Petrol Turbo 6 Speed Manual 7 STR Dual Tone,https://www.carwale.com/citroen-cars/aircross-x/max-petrol-turbo-6-speed-manual-7-str-dual-tone/,200,True
Citroen,Aircross X,Max Petrol Turbo Automatic 7 STR,https://www.carwale.com/citroen-cars/aircross-x/max-petrol-turbo-automatic-7-str/,200,True
Citroen,Aircross X,Max Petrol Turbo Automatic 7 STR Dual Tone,https://www.carwale.com/citroen-cars/aircross-x/max-petrol-turbo-automatic-7-str-dual-tone/,200,True
Citroen,Aircross X,Plus Petrol 5 Speed Manual 5 STR,https://www.carwale.com/citroen-cars/aircross-x/plus-petrol-5-speed-manual-5-str/,200,True
Citroen,Aircross X,Plus Petrol Turbo 6 Speed Manual 7 STR,https://www.carwale.com/citroen-cars/aircross-x/plus-petrol-turbo-6-speed-manual-7-str/,200,True
Citroen,Aircross X,You Petrol 5 Speed Manual 5 STR,https://www.carwale.com/citroen-cars/aircross-x/you-petrol-5-speed-manual-5-str/,200,True
Citroen,Basalt X,Max Petrol Turbo 6 Speed Manual,https://www.carwale.com/citroen-cars/basalt-x/max-petrol-turbo-6-speed-manual/,200,True
Citroen,Basalt X,Max Petrol Turbo 6 Speed Manual Dual Tone,https://www.carwale.com/citroen-cars/basalt-x/max-petrol-turbo-6-speed-manual-dual-tone/,200,True
Citroen,Basalt X,Max Petrol Turbo Automatic,https://www.carwale.com/citroen-cars/basalt-x/max-petrol-turbo-automatic/,200,True
Citroen,Basalt X,Max Petrol Turbo Automatic Dual Tone,https://www.carwale.com/citroen-cars/basalt-x/max-petrol-turbo-automatic-dual-tone/,200,True
Citroen,Basalt X,Plus Petrol 5 Speed Manual,https://www.carwale.com/citroen-cars/basalt-x/plus-petrol-5-speed-manual/,200,True
Citroen,Basalt X,Plus Petrol Turbo 6 Speed Manual,https://www.carwale.com/citroen-cars/basalt-x/plus-petrol-turbo-6-speed-manual/,200,True
Citroen,Basalt X,Plus Petrol Turbo Automatic,https://www.carwale.com/citroen-cars/basalt-x/plus-petrol-turbo-automatic/,200,True
Citroen,Basalt X,You Petrol 5 Speed Manual,https://www.carwale.com/citroen-cars/basalt-x/you-petrol-5-speed-manual/,200,True
Citroen,Ec3,Live (O) 29.2 kWh,https://www.carwale.com/citroen-cars/ec3/live-o-292-kwh/,-1,False
Citroen,Ec3,Live 29.2 kWh,https://www.carwale.com/citroen-cars/ec3/live-292-kwh/,-1,False
Citroen,Ec3,Shine 29.2 kWh,https://www.carwale.com/citroen-cars/ec3/shine-292-kwh/,-1,False
Citroen,C5 Aircross,Shine Diesel Automatic,https://www.carwale.com/citroen-cars/c5-aircross/shine-diesel-automatic/,200,True
Citroen,C5 Aircross,Shine Dual Tone,https://www.carwale.com/citroen-cars/c5-aircross/shine-dual-tone/,200,True
Citroen,New C5 Aircross,Aircross X,https://www.carwale.com/citroen-cars/new-c5-aircross/aircross-x/,404,False
Citroen,New C5 Aircross,Basalt X,https://www.carwale.com/citroen-cars/new-c5-aircross/basalt-x/,404,False
Citroen,New C5 Aircross,C3 X,https://www.carwale.com/citroen-cars/new-c5-aircross/c3-x/,404,False
