brand_slug,brand_name,model_slug,model_name,model_url,model_source
citroen,Citroen,basalt-x,Basalt X,https://www.carwale.com/citroen-cars/basalt-x/,carwale
citroen,Citroen,ec3,Ec3,https://www.carwale.com/citroen-cars/ec3/,carwale
citroen,Citroen,c5-aircross,C5 Aircross,https://www.carwale.com/citroen-cars/c5-aircross/,carwale
citroen,Citroen,new-c5-aircross,New C5 Aircross,https://www.carwale.com/citroen-cars/new-c5-aircross/,carwale
citroen,Citroen,basalt-ev,Basalt Ev,https://www.carwale.com/citroen-cars/basalt-ev/,carwale
citroen,Citroen,basalt,Basalt,https://www.carwale.com/citroen-cars/basalt/,carwale
citroen,Citroen,sub-4-metre-compact-suv,Sub 4 Metre Compact Suv,https://www.carwale.com/citroen-cars/sub-4-metre-compact-suv/,carwale
ferrari,Ferrari,849-testarossa,849 Testarossa,https://www.carwale.com/ferrari-cars/849-testarossa/,carwale
ferrari,Ferrari,purosangue-suv,Purosangue Suv,https://www.carwale.com/ferrari-cars/purosangue-suv/,carwale
ferrari,Ferrari,296-gtb,296 Gtb,https://www.carwale.com/ferrari-cars/296-gtb/,carwale
ferrari,Ferrari,roma,Roma,https://www.carwale.com/ferrari-cars/roma/,carwale
ferrari,Ferrari,f8-tributo,F8 Tributo,https://www.carwale.com/ferrari-cars/f8-tributo/,carwale
ferrari,Ferrari,portofino,Portofino,https://www.carwale.com/ferrari-cars/portofino/,carwale
ferrari,Ferrari,296-gts,296 Gts,https://www.carwale.com/ferrari-cars/296-gts/,carwale
ferrari,Ferrari,f12berlinetta,F12Berlinetta,https://www.carwale.com/ferrari-cars/f12berlinetta/,carwale
ferrari,Ferrari,812,812,https://www.carwale.com/ferrari-cars/812/,carwale
ferrari,Ferrari,gtc4-lusso,Gtc4 Lusso,https://www.carwale.com/ferrari-cars/gtc4-lusso/,carwale
ferrari,Ferrari,599gtbfiorano,599Gtbfiorano,https://www.carwale.com/ferrari-cars/599gtbfiorano/,carwale
ferrari,Ferrari,488,488,https://www.carwale.com/ferrari-cars/488/,carwale
ferrari,Ferrari,458,458,https://www.carwale.com/ferrari-cars/458/,carwale
ferrari,Ferrari,360,360,https://www.carwale.com/ferrari-cars/360/,carwale
ferrari,Ferrari,ff,Ff,https://www.carwale.com/ferrari-cars/ff/,carwale
ferrari,Ferrari,california,California,https://www.carwale.com/ferrari-cars/california/,carwale
ferrari,Ferrari,575superamerica,575Superamerica,https://www.carwale.com/ferrari-cars/575superamerica/,carwale
ferrari,Ferrari,612,612,https://www.carwale.com/ferrari-cars/612/,carwale
ferrari,Ferrari,f430,F430,https://www.carwale.com/ferrari-cars/f430/,carwale
fisker,Fisker,ocean-ev,Ocean Ev,https://www.carwale.com/fisker-cars/ocean-ev/,carwale
force-motors,Force Motors,gurkha,Gurkha,https://www.carwale.com/force-motors-cars/gurkha/,carwale
force-motors,Force Motors,trax-cruiser,Trax Cruiser,https://www.carwale.com/force-motors-cars/trax-cruiser/,carwale
force-motors,Force Motors,forceone,Forceone,https://www.carwale.com/force-motors-cars/forceone/,carwale
genesis,Genesis,gv60,Gv60,https://www.cardekho.com/genesis/gv60,cardekho
genesis,Genesis,gv70,Gv70,https://www.cardekho.com/genesis/gv70,cardekho
genesis,Genesis,gv80,Gv80,https://www.cardekho.com/genesis/gv80,cardekho
honda,Honda,amaze,Amaze,https://www.carwale.com/honda-cars/amaze/,carwale
honda,Honda,elevate,Elevate,https://www.carwale.com/honda-cars/elevate/,carwale
honda,Honda,city,City,https://www.carwale.com/honda-cars/city/,carwale
honda,Honda,amaze-2nd-gen,Amaze 2Nd Gen,https://www.carwale.com/honda-cars/amaze-2nd-gen/,carwale
honda,Honda,zr-v,Zr V,https://www.carwale.com/honda-cars/zr-v/,carwale
honda,Honda,super-one,Super One,https://www.carwale.com/honda-cars/super-one/,carwale
honda,Honda,0-alpha,0 Alpha,https://www.carwale.com/honda-cars/0-alpha/,carwale
honda,Honda,prelude,Prelude,https://www.carwale.com/honda-cars/prelude/,carwale
honda,Honda,elevate-based-three-row-suv,Elevate Based Three Row Suv,https://www.carwale.com/honda-cars/elevate-based-three-row-suv/,carwale
honda,Honda,cr-v-hybrid,Cr V Hybrid,https://www.carwale.com/honda-cars/cr-v-hybrid/,carwale
honda,Honda,compact-suv,Compact Suv,https://www.carwale.com/honda-cars/compact-suv/,carwale
honda,Honda,city-hybrid-ehev,City Hybrid Ehev,https://www.carwale.com/honda-cars/city-hybrid-ehev/,carwale
honda,Honda,wr-v,Wr V,https://www.carwale.com/honda-cars/wr-v/,carwale
honda,Honda,elevate-ev,Elevate Ev,https://www.carwale.com/honda-cars/elevate-ev/,carwale
honda,Honda,jazz,Jazz,https://www.carwale.com/honda-cars/jazz/,carwale
honda,Honda,civic,Civic,https://www.carwale.com/honda-cars/civic/,carwale
honda,Honda,brio,Brio,https://www.carwale.com/honda-cars/brio/,carwale
honda,Honda,accord,Accord,https://www.carwale.com/honda-cars/accord/,carwale
honda,Honda,cr-v,Cr V,https://www.carwale.com/honda-cars/cr-v/,carwale
honda,Honda,stepwgn,Stepwgn,https://www.carwale.com/honda-cars/stepwgn/,carwale
honda,Honda,concerto,Concerto,https://www.carwale.com/honda-cars/concerto/,carwale
honda,Honda,crx,Crx,https://www.carwale.com/honda-cars/crx/,carwale
honda,Honda,mobilio,Mobilio,https://www.carwale.com/honda-cars/mobilio/,carwale
honda,Honda,br-v,Br V,https://www.carwale.com/honda-cars/br-v/,carwale
hyundai,Hyundai,creta,Creta,https://www.carwale.com/hyundai-cars/creta/,carwale
