brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Tata,Harrier,Fearless X Dark Edition Petrol 1.5L Turbo Manual,fearless-x-dark-edition-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-petrol-15l-turbo-manual/,Rs. 24.55 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-dark-edition-petrol-15l-turbo-manual/,2026-06-17 21:46:35
Tata,Harrier,Fearless X Diesel 2.0L Turbo Automatic,fearless-x-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-diesel-20l-turbo-automatic/,Rs. 23.58 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-diesel-20l-turbo-automatic/,2026-06-17 21:46:39
Tata,Harrier,Fearless X Diesel 2.0L Turbo Manual,fearless-x-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-diesel-20l-turbo-manual/,Rs. 23.58 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-diesel-20l-turbo-manual/,2026-06-17 21:46:43
Tata,Harrier,Fearless X Petrol 1.5L Turbo Automatic,fearless-x-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-petrol-15l-turbo-automatic/,Rs. 23.58 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-petrol-15l-turbo-automatic/,2026-06-17 21:46:47
Tata,Harrier,Fearless X Petrol 1.5L Turbo Manual,fearless-x-petrol-15l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-petrol-15l-turbo-manual/,Rs. 23.58 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,6,,https://www.carwale.com/tata-cars/harrier/fearless-x-petrol-15l-turbo-manual/,2026-06-17 21:46:51
Tata,Harrier,Fearless X Plus  Dark Edition Diesel 2.0L Turbo Automatic,fearless-x-plus-dark-edition-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-diesel-20l-turbo-automatic/,Rs. 28.54 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-diesel-20l-turbo-automatic/,2026-06-17 21:46:55
Tata,Harrier,Fearless X Plus  Dark Edition Diesel 2.0L Turbo Manual,fearless-x-plus-dark-edition-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-diesel-20l-turbo-manual/,Rs. 28.54 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-diesel-20l-turbo-manual/,2026-06-17 21:46:59
Tata,Harrier,Fearless X Plus  Dark Edition Petrol 1.5L Turbo Automatic,fearless-x-plus-dark-edition-petrol-15l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-petrol-15l-turbo-automatic/,Rs. 28.54 Lakh,Petrol,Automatic,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-dark-edition-petrol-15l-turbo-automatic/,2026-06-17 21:47:03
Tata,Harrier,Fearless X Plus  Diesel 2.0L Turbo Automatic,fearless-x-plus-diesel-20l-turbo-automatic,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-diesel-20l-turbo-automatic/,Rs. 26.27 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-diesel-20l-turbo-automatic/,2026-06-17 21:47:08
Tata,Harrier,Fearless X Plus  Diesel 2.0L Turbo Manual,fearless-x-plus-diesel-20l-turbo-manual,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-diesel-20l-turbo-manual/,Rs. 26.27 Lakh,Petrol,Manual,1498 cc,,168 bhp,280 Nm,5,7,,https://www.carwale.com/tata-cars/harrier/fearless-x-plus-diesel-20l-turbo-manual/,2026-06-17 21:47:11
