brand_slug,brand_name,model_slug,model_name,variant_slug,variant_name,variant_url
audi,Audi,q7-2022-2024,Q7 2022 2024,technology-55-tfsi,Technology 55 Tfsi,https://www.carwale.com/audi-cars/q7-2022-2024/technology-55-tfsi/
audi,Audi,q7-2022-2024,Q7 2022 2024,bold-editon,Bold Editon,https://www.carwale.com/audi-cars/q7-2022-2024/bold-editon/
audi,Audi,s5-sportback-2018,S5 Sportback 2018,30-tfsi,30 Tfsi,https://www.carwale.com/audi-cars/s5-sportback-2018/30-tfsi/
audi,Audi,a6-2015-2019,A6 2015 2019,35-tfsi,35 Tfsi,https://www.carwale.com/audi-cars/a6-2015-2019/35-tfsi/
audi,Audi,a6-2015-2019,A6 2015 2019,35-tfsi-s-line-matrix,35 Tfsi S Line Matrix,https://www.carwale.com/audi-cars/a6-2015-2019/35-tfsi-s-line-matrix/
audi,Audi,a6-2015-2019,A6 2015 2019,35-tdi-matrix,35 Tdi Matrix,https://www.carwale.com/audi-cars/a6-2015-2019/35-tdi-matrix/
audi,Audi,a4-2016-2020,A4 2016 2020,30-tfsi-premium-plus,30 Tfsi Premium Plus,https://www.carwale.com/audi-cars/a4-2016-2020/30-tfsi-premium-plus/
audi,Audi,a4-2016-2020,A4 2016 2020,30-tfsi-quick-lift-premium-plus,30 Tfsi Quick Lift Premium Plus,https://www.carwale.com/audi-cars/a4-2016-2020/30-tfsi-quick-lift-premium-plus/
audi,Audi,a4-2016-2020,A4 2016 2020,lifestyle-edition,Lifestyle Edition,https://www.carwale.com/audi-cars/a4-2016-2020/lifestyle-edition/
audi,Audi,a4-2016-2020,A4 2016 2020,35-tdi-premium-plus,35 Tdi Premium Plus,https://www.carwale.com/audi-cars/a4-2016-2020/35-tdi-premium-plus/
audi,Audi,a4-2016-2020,A4 2016 2020,30-tfsi-technology-pack,30 Tfsi Technology Pack,https://www.carwale.com/audi-cars/a4-2016-2020/30-tfsi-technology-pack/
audi,Audi,a4-2016-2020,A4 2016 2020,30-tfsi-quick-lift-technology-pack,30 Tfsi Quick Lift Technology Pack,https://www.carwale.com/audi-cars/a4-2016-2020/30-tfsi-quick-lift-technology-pack/
audi,Audi,a4-2016-2020,A4 2016 2020,35-tdi-technology,35 Tdi Technology,https://www.carwale.com/audi-cars/a4-2016-2020/35-tdi-technology/
audi,Audi,a4-2016-2020,A4 2016 2020,14tfsi-multitronic,14Tfsi Multitronic,https://www.carwale.com/audi-cars/a4-2016-2020/14tfsi-multitronic/
audi,Audi,a4-2016-2020,A4 2016 2020,35-tfsi-premium-sunroof,35 Tfsi Premium Sunroof,https://www.carwale.com/audi-cars/a4-2016-2020/35-tfsi-premium-sunroof/
audi,Audi,s6,S6,40-tfsi,40 Tfsi,https://www.carwale.com/audi-cars/s6/40-tfsi/
audi,Audi,s6,S6,40-tfsi-2013-2016,40 Tfsi 2013 2016,https://www.carwale.com/audi-cars/s6/40-tfsi-2013-2016/
audi,Audi,a7-2011-2015,A7 2011 2015,sportback-30-tdi-quattro,Sportback 30 Tdi Quattro,https://www.carwale.com/audi-cars/a7-2011-2015/sportback-30-tdi-quattro/
audi,Audi,a7-2011-2015,A7 2011 2015,30-tfsi,30 Tfsi,https://www.carwale.com/audi-cars/a7-2011-2015/30-tfsi/
audi,Audi,r8,R8,52-v10,52 V10,https://www.carwale.com/audi-cars/r8/52-v10/
audi,Audi,r8,R8,52-v10-plus,52 V10 Plus,https://www.carwale.com/audi-cars/r8/52-v10-plus/
audi,Audi,tt,Tt,45-tfsi,45 Tfsi,https://www.carwale.com/audi-cars/tt/45-tfsi/
audi,Audi,q2,Q2,standard-40-tfsi-quattro,Standard 40 Tfsi Quattro,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro/
audi,Audi,q2,Q2,standard-40-tfsi-quattro-with-sunroof,Standard 40 Tfsi Quattro With Sunroof,https://www.carwale.com/audi-cars/q2/standard-40-tfsi-quattro-with-sunroof/
audi,Audi,q2,Q2,premium-40-tfsi-quattro,Premium 40 Tfsi Quattro,https://www.carwale.com/audi-cars/q2/premium-40-tfsi-quattro/
audi,Audi,q2,Q2,premium-plus-i-40-tfsi-quattro,Premium Plus I 40 Tfsi Quattro,https://www.carwale.com/audi-cars/q2/premium-plus-i-40-tfsi-quattro/
audi,Audi,q2,Q2,premium-plus-ii-40-tfsi-quattro,Premium Plus Ii 40 Tfsi Quattro,https://www.carwale.com/audi-cars/q2/premium-plus-ii-40-tfsi-quattro/
audi,Audi,q2,Q2,technology-40-tfsi-quattro,Technology 40 Tfsi Quattro,https://www.carwale.com/audi-cars/q2/technology-40-tfsi-quattro/
bmw,BMW,3-series,3 Series,50-jahre-edition,50 Jahre Edition,https://www.carwale.com/bmw-cars/3-series/50-jahre-edition/
bmw,BMW,3-series,3 Series,330li-m-sport,330Li M Sport,https://www.carwale.com/bmw-cars/3-series/330li-m-sport/
bmw,BMW,3-series,3 Series,320ld-m-sport,320Ld M Sport,https://www.carwale.com/bmw-cars/3-series/320ld-m-sport/
bmw,BMW,2-series-gran-coupe,2 Series Gran Coupe,218-m-sport,218 M Sport,https://www.carwale.com/bmw-cars/2-series-gran-coupe/218-m-sport/
