brand_name,model_name,variant_name,variant_slug,variant_url,price,fuel_type,transmission,engine,mileage,power,torque,seating_capacity,airbags,body_type,source_url,scraped_at
Lexus,Es,500 e AWD 74.7 kWh,500-e-awd-74-7-kwh,https://www.carwale.com/lexus-cars/es/500-e-awd-747-kwh/,Rs. 89.99 Lakh,Electric,Automatic,74.68 kWh Battery,,338 bhp,338 Nm,5,10,Coupe,https://www.carwale.com/lexus-cars/es/500-e-awd-747-kwh/,2026-06-19 10:52:20
Lexus,Lx,500d Overtrail,500d-overtrail,https://www.carwale.com/lexus-cars/lx/500d-overtrail/,Rs. 2.93 Crore,Diesel,Automatic,3346 cc,8.0 kmpl,304 bhp,700 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/lx/500d-overtrail/,2026-06-19 10:52:22
Lexus,Lx,500d Urban,500d-urban,https://www.carwale.com/lexus-cars/lx/500d-urban/,Rs. 2.81 Crore,Diesel,Automatic,3346 cc,8.0 kmpl,304 bhp,700 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/lx/500d-urban/,2026-06-19 10:52:22
Lexus,Lx,500d with Artwood Takanoha,500d-with-artwood-takanoha,https://www.carwale.com/lexus-cars/lx/500d-with-artwood-takanoha/,Rs. 2.65 Crore,Diesel,Automatic,3346 cc,8.0 kmpl,304 bhp,700 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/lx/500d-with-artwood-takanoha/,2026-06-19 10:52:23
Lexus,Lx,500d with Ash Open Pore Sumi Black Trim,500d-with-ash-open-pore-sumi-black-trim,https://www.carwale.com/lexus-cars/lx/500d-with-ash-open-pore-sumi-black-trim/,Rs. 2.64 Crore,Diesel,Automatic,3346 cc,8.0 kmpl,304 bhp,700 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/lx/500d-with-ash-open-pore-sumi-black-trim/,2026-06-19 10:52:23
Lexus,Lx,500d with Walnut Open Pore Trim,500d-with-walnut-open-pore-trim,https://www.carwale.com/lexus-cars/lx/500d-with-walnut-open-pore-trim/,Rs. 2.64 Crore,Diesel,Automatic,3346 cc,8.0 kmpl,304 bhp,700 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/lx/500d-with-walnut-open-pore-trim/,2026-06-19 10:52:24
Lexus,Nx,350h Exquisite,350h-exquisite,https://www.carwale.com/lexus-cars/nx/350h-exquisite/,Rs. 67.59 Lakh,Hybrid,Automatic,2487 cc,,188 bhp,239 Nm,5,8,SUV,https://www.carwale.com/lexus-cars/nx/350h-exquisite/,2026-06-19 10:52:25
Lexus,Nx,350h F-Sport,350h-f-sport,https://www.carwale.com/lexus-cars/nx/350h-f-sport/,Rs. 74.50 Lakh,Hybrid,Automatic,2487 cc,,188 bhp,239 Nm,5,8,SUV,https://www.carwale.com/lexus-cars/nx/350h-f-sport/,2026-06-19 10:52:26
Lexus,Nx,350h Luxury,350h-luxury,https://www.carwale.com/lexus-cars/nx/350h-luxury/,Rs. 72.33 Lakh,Hybrid,Automatic,2487 cc,,188 bhp,239 Nm,5,8,SUV,https://www.carwale.com/lexus-cars/nx/350h-luxury/,2026-06-19 10:52:26
Lexus,Nx,350h Overtrail Grade,350h-overtrail-grade,https://www.carwale.com/lexus-cars/nx/350h-overtrail-grade/,Rs. 71.43 Lakh,Hybrid,Automatic,2487 cc,,188 bhp,239 Nm,5,8,SUV,https://www.carwale.com/lexus-cars/nx/350h-overtrail-grade/,2026-06-19 10:52:27
Lexus,Lm,350h 4 STR Ultra Luxury,350h-4-str-ultra-luxury,https://www.carwale.com/lexus-cars/lm/350h-4-str-ultra-luxury/,Rs. 2.75 Crore,Hybrid,Automatic,2487 cc,,244 bhp,242 Nm,4,14,MUV,https://www.carwale.com/lexus-cars/lm/350h-4-str-ultra-luxury/,2026-06-19 10:52:27
Lexus,Lm,350h 4 STR Ultra Luxury [2024-2025],350h-4-str-ultra-luxury-2024-2025,https://www.carwale.com/lexus-cars/lm/350h-4-str-ultra-luxury-2024-2025/,Rs. 2.69 Crore,Hybrid,Automatic,2487 cc,,190 bhp,242 Nm,4,14,MUV,https://www.carwale.com/lexus-cars/lm/350h-4-str-ultra-luxury-2024-2025/,2026-06-19 10:52:29
Lexus,Rx,350h Exquisite Hybrid (Electric + Petrol) 2.5L Automatic,350h-exquisite-hybrid-electric-petrol-2-5l-automatic,https://www.carwale.com/lexus-cars/rx/350h-exquisite-hybrid-electric-plus-petrol-25l-automatic/,Rs. 89.99 Lakh,Hybrid,Automatic,2487 cc,,366 bhp,242 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/rx/350h-exquisite-hybrid-electric-plus-petrol-25l-automatic/,2026-06-19 10:52:29
Lexus,Lm,350h 7 STR VIP,350h-7-str-vip,https://www.carwale.com/lexus-cars/lm/350h-7-str-vip/,Rs. 2.20 Crore,Hybrid,Automatic,2487 cc,,244 bhp,242 Nm,7,14,MUV,https://www.carwale.com/lexus-cars/lm/350h-7-str-vip/,2026-06-19 10:52:30
Lexus,Rx,Exquisite Hybrid (Electric + Petrol) 2.5L Automatic with Mark Levinson Audio,exquisite-hybrid-electric-petrol-2-5l-automatic-with-mark-levinson-audio,https://www.carwale.com/lexus-cars/rx/exquisite-hybrid-electric-plus-petrol-25l-automatic-with-mark-levinson-audio/,Rs. 93.40 Lakh,Hybrid,Automatic,2487 cc,,366 bhp,242 Nm,5,10,SUV,https://www.carwale.com/lexus-cars/rx/exquisite-hybrid-electric-plus-petrol-25l-automatic-with-mark-levinson-audio/,2026-06-19 10:52:31
